spdiversity,fndiv,Substrate,vial,tube,time,dC_dt
8,4,Spruce,87,155,2.89,18.95
8,4,Spruce,95,156,2.93,20.51
8,4,Spruce,103,157,2.94,19.00
8,4,Spruce,111,158,2.95,0.83
8,4,Spruce,119,159,2.96,0.54
8,4,Spruce,127,160,2.97,0.48
8,4,Spruce,135,161,2.99,23.06
8,4,Spruce,143,162,3.00,22.16
8,4,Spruce,151,163,3.01,0.83
8,4,Spruce,159,164,3.02,0.37
8,4,Spruce,167,165,3.03,0.86
8,4,Spruce,175,166,3.03,0.74
8,4,Spruce,183,167,3.04,25.42
8,4,Spruce,8,168,2.76,0.34
8,4,Spruce,16,169,2.76,0.83
8,4,Spruce,24,170,2.77,0.50
8,4,Spruce,32,171,2.78,0.91
8,4,Spruce,40,172,2.80,1.66
8,4,Spruce,48,173,2.81,15.54
8,4,Spruce,56,174,2.85,18.14
8,4,Spruce,64,175,2.86,0.95
8,4,Spruce,72,176,2.87,0.97
8,4,Spruce,80,177,2.88,0.32
8,4,Spruce,88,178,2.89,0.59
8,4,Spruce,96,179,2.93,0.84
8,4,Spruce,104,180,2.94,0.77
8,4,Spruce,112,181,2.95,0.86
8,4,Spruce,120,182,2.96,0.58
8,4,Spruce,128,183,2.98,0.66
8,4,Spruce,136,184,2.99,23.40
8,4,Spruce,144,185,3.00,24.22
8,4,Spruce,152,186,3.01,19.73
8,4,Spruce,160,187,3.02,0.57
8,4,Spruce,168,188,3.03,0.39
8,4,Spruce,176,189,3.04,0.46
8,4,Spruce,184,190,3.05,0.62
1,1,Aspen,,,5.48,1.46
1,1,Aspen,,,5.49,0.53
1,1,Aspen,,,5.50,35.15
1,1,Aspen,,,5.51,1.24
1,1,Aspen,,,5.52,1.38
1,1,Aspen,,,5.52,61.42
1,1,Aspen,,,5.54,2.24
1,1,Aspen,,,5.54,79.68
1,1,Aspen,,,5.55,54.41
1,1,Aspen,,,5.56,9.74
1,1,Aspen,,,5.56,0.94
1,1,Aspen,,,5.57,0.83
1,1,Aspen,,,5.58,0.67
1,1,Aspen,,,5.59,0.82
1,1,Aspen,,,5.60,0.84
1,1,Aspen,,,5.61,0.37
1,1,Aspen,,,5.61,36.20
1,1,Aspen,,,5.62,0.62
1,1,Aspen,,,5.65,33.12
1,1,Aspen,,,5.65,3.44
1,1,Aspen,,,5.66,1.04
1,1,Aspen,,,5.67,53.22
1,1,Aspen,,,5.67,1.44
1,1,Aspen,,,5.68,74.70
1,1,Aspen,,,5.56,54.95
1,1,Aspen,,,5.57,0.55
1,1,Aspen,,,5.58,0.63
1,1,Aspen,,,5.59,0.79
1,1,Aspen,,,5.61,0.74
1,1,Aspen,,,5.62,0.91
1,1,Aspen,,,5.66,0.75
1,1,Aspen,,,5.67,0.48
2,1,Aspen,,,5.68,35.82
2,1,Aspen,,,5.69,27.73
2,1,Aspen,,,5.71,40.83
2,1,Aspen,,,5.72,15.50
2,1,Aspen,,,5.77,0.04
2,1,Aspen,,,5.78,31.08
2,1,Aspen,,,5.79,12.61
2,1,Aspen,,,5.81,0.71
2,1,Aspen,,,5.82,52.11
2,1,Aspen,,,5.83,39.33
2,1,Aspen,,,5.87,28.13
2,1,Aspen,,,5.88,43.47
2,1,Aspen,,,5.89,28.36
2,1,Aspen,,,5.91,56.17
2,1,Aspen,,,5.92,45.42
2,1,Aspen,,,5.93,1.19
2,1,Aspen,,,5.56,22.57
2,1,Aspen,,,5.57,0.37
2,1,Aspen,,,5.58,0.40
2,1,Aspen,,,5.59,0.00
2,1,Aspen,,,5.61,0.74
2,1,Aspen,,,5.62,1.29
2,1,Aspen,,,5.66,0.63
2,1,Aspen,,,5.67,0.77
4,1,Aspen,,,5.68,34.16
4,1,Aspen,,,5.70,44.01
4,1,Aspen,,,5.71,1.86
4,1,Aspen,,,5.75,0.60
4,1,Aspen,,,5.77,21.66
4,1,Aspen,,,5.78,43.79
4,1,Aspen,,,5.79,47.59
4,1,Aspen,,,5.81,0.45
2,2,Aspen,,,5.82,36.48
2,2,Aspen,,,5.84,37.71
2,2,Aspen,,,5.87,11.82
2,2,Aspen,,,5.88,50.89
2,2,Aspen,,,5.89,53.49
2,2,Aspen,,,5.91,0.95
2,2,Aspen,,,5.92,11.11
2,2,Aspen,,,5.93,1.22
2,2,Aspen,,,5.56,26.96
2,2,Aspen,,,5.57,0.46
2,2,Aspen,,,5.58,26.41
2,2,Aspen,,,5.60,0.93
2,2,Aspen,,,5.61,1.11
2,2,Aspen,,,5.63,29.84
2,2,Aspen,,,5.66,1.83
2,2,Aspen,,,5.67,54.62
2,2,Aspen,,,5.69,0.80
2,2,Aspen,,,5.70,18.84
2,2,Aspen,,,5.71,0.86
2,2,Aspen,,,5.75,44.55
2,2,Aspen,,,5.77,34.62
2,2,Aspen,,,5.78,14.66
2,2,Aspen,,,5.79,0.72
2,2,Aspen,,,5.81,0.42
4,2,Aspen,,,5.83,40.11
4,2,Aspen,,,5.84,37.31
4,2,Aspen,,,5.87,35.31
4,2,Aspen,,,5.88,33.48
4,2,Aspen,,,5.90,1.39
4,2,Aspen,,,5.91,36.30
4,2,Aspen,,,5.92,53.01
4,2,Aspen,,,5.93,57.80
4,2,Aspen,,,5.56,49.78
4,2,Aspen,,,5.57,13.36
4,2,Aspen,,,5.58,2.12
4,2,Aspen,,,5.60,11.22
4,2,Aspen,,,5.61,28.63
4,2,Aspen,,,5.63,47.39
4,2,Aspen,,,5.66,38.15
4,2,Aspen,,,5.68,21.72
4,2,Aspen,,,5.69,0.42
4,2,Aspen,,,5.70,22.40
4,2,Aspen,,,5.71,48.33
4,2,Aspen,,,5.75,6.99
4,2,Aspen,,,5.77,37.15
4,2,Aspen,,,5.78,64.11
4,2,Aspen,,,5.80,54.03
4,2,Aspen,,,5.82,48.51
4,2,Aspen,,,5.83,38.26
4,2,Aspen,,,5.84,1.29
4,2,Aspen,,,5.87,26.40
4,2,Aspen,,,5.89,0.88
4,2,Aspen,,,5.90,52.43
4,2,Aspen,,,5.91,40.45
4,2,Aspen,,,5.92,52.92
4,2,Aspen,,,5.93,53.27
4,2,Aspen,,,5.56,49.21
4,2,Aspen,,,5.57,1.46
4,2,Aspen,,,5.58,0.27
4,2,Aspen,,,5.60,1.23
8,2,Aspen,,,5.61,42.38
8,2,Aspen,,,5.63,56.56
8,2,Aspen,,,5.66,38.40
8,2,Aspen,,,5.68,46.56
8,2,Aspen,,,5.69,47.09
8,2,Aspen,,,5.70,50.71
4,4,Aspen,,,5.71,41.57
4,4,Aspen,,,5.75,0.86
4,4,Aspen,,,5.77,12.27
4,4,Aspen,,,5.79,27.95
4,4,Aspen,,,5.80,23.00
4,4,Aspen,,,5.82,1.43
4,4,Aspen,,,5.83,32.57
4,4,Aspen,,,5.84,42.55
4,4,Aspen,,,5.87,24.51
4,4,Aspen,,,5.89,44.94
4,4,Aspen,,,5.90,15.10
4,4,Aspen,,,5.91,12.83
4,4,Aspen,,,5.92,36.68
4,4,Aspen,,,5.93,2.06
4,4,Aspen,,,5.56,43.79
4,4,Aspen,,,5.58,29.93
4,4,Aspen,,,5.58,21.10
4,4,Aspen,,,5.60,34.82
4,4,Aspen,,,5.62,17.75
4,4,Aspen,,,5.63,63.19
4,4,Aspen,,,5.67,38.69
4,4,Aspen,,,5.68,0.70
4,4,Aspen,,,5.69,20.70
4,4,Aspen,,,5.70,48.38
8,4,Aspen,,,5.72,53.04
8,4,Aspen,,,5.75,43.38
8,4,Aspen,,,5.78,66.81
8,4,Aspen,,,5.79,38.71
8,4,Aspen,,,5.80,38.50
8,4,Aspen,,,5.82,40.38
8,4,Aspen,,,5.83,46.36
8,4,Aspen,,,5.84,43.54
8,4,Aspen,,,5.88,41.03
8,4,Aspen,,,5.89,37.30
8,4,Aspen,,,5.90,30.58
8,4,Aspen,,,5.91,57.10
8,4,Aspen,,,5.92,37.83
8,4,Aspen,,,5.57,25.62
8,4,Aspen,,,5.58,39.72
8,4,Aspen,,,5.58,42.05
8,4,Aspen,,,5.60,48.40
8,4,Aspen,,,5.62,55.16
8,4,Aspen,,,5.63,53.52
8,4,Aspen,,,5.67,43.71
8,4,Aspen,,,5.68,19.99
8,4,Aspen,,,5.69,43.03
8,4,Aspen,,,5.70,25.19
8,4,Aspen,,,5.72,46.75
8,4,Aspen,,,5.76,43.06
8,4,Aspen,,,5.78,31.98
8,4,Aspen,,,5.79,27.46
8,4,Aspen,,,5.80,1.64
8,4,Aspen,,,5.82,55.57
8,4,Aspen,,,5.83,56.69
8,4,Aspen,,,5.84,36.06
8,4,Aspen,,,5.88,39.51
8,4,Aspen,,,5.89,46.30
8,4,Aspen,,,5.90,29.57
8,4,Aspen,,,5.92,46.33
1,1,Spruce,,,6.46,78.62
1,1,Spruce,,,6.47,1.72
1,1,Spruce,,,6.47,0.57
1,1,Spruce,,,6.49,0.86
1,1,Spruce,,,6.50,0.53
1,1,Spruce,,,6.50,33.70
1,1,Spruce,,,6.51,1.14
1,1,Spruce,,,6.52,41.12
1,1,Spruce,,,6.53,9.23
1,1,Spruce,,,6.55,0.43
1,1,Spruce,,,6.55,0.38
1,1,Spruce,,,6.56,0.77
1,1,Spruce,,,6.61,0.38
1,1,Spruce,,,6.62,0.53
